Participant,Practice,Block,Trial,GroupCount,GraphSize
3,false,1,8,Large,Low
3,false,1,9,Medium,High
3,false,1,10,Large,Medium
3,false,1,11,Medium,Medium
3,false,1,12,Small,High
3,false,1,13,Small,Low
3,false,1,14,Small,Medium
3,false,1,15,Small,High
3,false,1,16,Small,Low
3,false,1,17,Medium,Low
4,true,0,0,Medium,Low
4,true,0,1,Large,Low
4,true,0,2,Small,Low
4,false,1,0,Large,Low
4,false,1,1,Small,Medium
4,false,1,2,Medium,High
4,false,1,3,Medium,Low
4,false,1,4,Small,Low
4,false,1,5,Small,High
4,false,1,6,Small,Medium
4,false,1,7,Medium,Low
4,false,1,8,Large,Medium
4,false,1,9,Medium,High
4,false,1,10,Small,Low
4,false,1,11,Large,Medium
4,false,1,12,Medium,Medium
4,false,1,13,Large,High
4,false,1,14,Large,Low
4,false,1,15,Small,High
4,false,1,16,Large,High
4,false,1,17,Medium,Medium
5,true,0,0,Medium,Low
5,true,0,1,Small,Low
5,true,0,2,Large,Low
5,false,1,0,Large,Medium
5,false,1,1,Large,High
5,false,1,2,Large,Low
5,false,1,3,Medium,High
5,false,1,4,Large,High
5,false,1,5,Medium,Low
5,false,1,6,Small,Medium
5,false,1,7,Small,High
5,false,1,8,Medium,High
5,false,1,9,Medium,Medium
5,false,1,10,Small,Medium
5,false,1,11,Small,Low
5,false,1,12,Medium,Low
5,false,1,13,Large,Medium
5,false,1,14,Medium,Medium
5,false,1,15,Small,High
5,false,1,16,Large,Low
5,false,1,17,Small,Low
6,true,0,0,Large,Low
6,true,0,1,Small,Low
6,true,0,2,Medium,Low
6,false,1,0,Small,Low
6,false,1,1,Large,High
6,false,1,2,Large,Medium
6,false,1,3,Small,High
6,false,1,4,Large,Medium
6,false,1,5,Small,Low
6,false,1,6,Small,Medium
6,false,1,7,Medium,High
6,false,1,8,Large,Low
6,false,1,9,Large,Low
6,false,1,10,Small,High
6,false,1,11,Medium,High
6,false,1,12,Medium,Low
6,false,1,13,Medium,Medium
6,false,1,14,Small,Medium
6,false,1,15,Medium,Low
6,false,1,16,Medium,Medium
6,false,1,17,Large,High
7,true,0,0,Medium,Low
7,true,0,1,Small,Low
7,true,0,2,Large,Low
7,false,1,0,Medium,Medium
7,false,1,1,Small,Low
7,false,1,2,Small,High
7,false,1,3,Large,High
7,false,1,4,Small,High
7,false,1,5,Large,Medium
7,false,1,6,Large,Low
7,false,1,7,Large,High
7,false,1,8,Medium,High
7,false,1,9,Small,Medium
7,false,1,10,Medium,High
7,false,1,11,Medium,Low
7,false,1,12,Large,Low
7,false,1,13,Large,Medium
7,false,1,14,Medium,Medium
7,false,1,15,Small,Medium
7,false,1,16,Medium,Low
7,false,1,17,Small,Low
8,true,0,0,Medium,Low
8,true,0,1,Small,Low
8,true,0,2,Large,Low
8,false,1,0,Large,Low
8,false,1,1,Large,Medium
8,false,1,2,Medium,High
8,false,1,3,Medium,Low
8,false,1,4,Medium,Low
8,false,1,5,Large,High
8,false,1,6,Large,Medium
8,false,1,7,Small,Medium
8,false,1,8,Medium,Medium
8,false,1,9,Medium,Medium
8,false,1,10,Small,Low
8,false,1,11,Small,Low
8,false,1,12,Large,Low
8,false,1,13,Small,High
8,false,1,14,Medium,High
8,false,1,15,Small,High
8,false,1,16,Small,Medium
8,false,1,17,Large,High
9,true,0,0,Medium,Low
9,true,0,1,Small,Low
9,true,0,2,Large,Low
9,false,1,0,Small,High
9,false,1,1,Medium,Low
9,false,1,2,Medium,Medium
9,false,1,3,Large,High
9,false,1,4,Medium,High
9,false,1,5,Small,Low
9,false,1,6,Large,Medium
9,false,1,7,Large,Medium
9,false,1,8,Small,Low
9,false,1,9,Small,Medium
9,false,1,10,Medium,High
9,false,1,11,Large,Low
9,false,1,12,Medium,Low
9,false,1,13,Small,High
9,false,1,14,Medium,Medium
9,false,1,15,Small,Medium
9,false,1,16,Large,High
9,false,1,17,Large,Low
10,true,0,0,Small,Low
10,true,0,1,Large,Low
10,true,0,2,Medium,Low
10,false,1,0,Large,Low
10,false,1,1,Small,Medium
10,false,1,2,Large,Medium
10,false,1,3,Medium,High
10,false,1,4,Small,High
10,false,1,5,Medium,High
10,false,1,6,Large,Low
10,false,1,7,Large,High
10,false,1,8,Large,High
10,false,1,9,Large,Medium
10,false,1,10,Medium,Low
10,false,1,11,Small,Low
10,false,1,12,Medium,Medium
10,false,1,13,Small,High
10,false,1,14,Medium,Medium
10,false,1,15,Small,Medium
10,false,1,16,Medium,Low
10,false,1,17,Small,Low
11,true,0,0,Medium,Low
11,true,0,1,Small,Low
11,true,0,2,Large,Low
11,false,1,0,Medium,Low
11,false,1,1,Small,Medium
11,false,1,2,Small,Low
11,false,1,3,Medium,Medium
11,false,1,4,Small,High
11,false,1,5,Small,Medium
11,false,1,6,Medium,Low
11,false,1,7,Large,High
11,false,1,8,Medium,High
11,false,1,9,Large,Medium
11,false,1,10,Medium,Medium
11,false,1,11,Large,High
11,false,1,12,Small,High
11,false,1,13,Large,Low
11,false,1,14,Medium,High
11,false,1,15,Small,Low
11,false,1,16,Large,Low
11,false,1,17,Large,Medium
12,true,0,0,Medium,Low
12,true,0,1,Large,Low
12,true,0,2,Small,Low
12,false,1,0,Medium,Medium
12,false,1,1,Small,High
12,false,1,2,Large,High
12,false,1,3,Large,Low
12,false,1,4,Large,Low
12,false,1,5,Medium,Medium
12,false,1,6,Large,Medium
12,false,1,7,Small,Medium
12,false,1,8,Medium,Low
12,false,1,9,Large,High
12,false,1,10,Medium,Low
12,false,1,11,Small,Low
12,false,1,12,Medium,High
12,false,1,13,Small,Low
12,false,1,14,Small,Medium
12,false,1,15,Large,Medium
12,false,1,16,Small,High
12,false,1,17,Medium,High
13,true,0,0,Large,Low
13,true,0,1,Small,Low
13,true,0,2,Medium,Low
13,false,1,0,Large,High
13,false,1,1,Large,Low
13,false,1,2,Large,High
13,false,1,3,Medium,Medium
13,false,1,4,Medium,Low
13,false,1,5,Small,Low
13,false,1,6,Small,Medium
13,false,1,7,Large,Medium
13,false,1,8,Large,Medium
13,false,1,9,Small,Medium
13,false,1,10,Medium,Medium
13,false,1,11,Medium,Low
13,false,1,12,Small,High
13,false,1,13,Medium,High
13,false,1,14,Small,Low
13,false,1,15,Small,High
13,false,1,16,Large,Low
13,false,1,17,Medium,High
14,true,0,0,Small,Low
14,true,0,1,Large,Low
14,true,0,2,Medium,Low
14,false,1,0,Small,High
14,false,1,1,Large,Low
14,false,1,2,Medium,Medium
14,false,1,3,Large,Low
14,false,1,4,Medium,High
14,false,1,5,Medium,High
14,false,1,6,Small,Medium
14,false,1,7,Medium,Medium
14,false,1,8,Medium,Low
14,false,1,9,Small,Medium
14,false,1,10,Large,Medium
14,false,1,11,Large,High
14,false,1,12,Medium,Low
14,false,1,13,Small,High
14,false,1,14,Large,High
14,false,1,15,Large,Medium
14,false,1,16,Small,Low
14,false,1,17,Small,Low
